,en,tn
1357,meeting,إجْتِمَاعْ
1358,to cry,بْكَى
1359,"difficulties, tragedies",بْلَا
1360,investigation,تَحْقِيقْ
1361,"actualization, realization",تَحْقِيقْ
1362,"to answer, respond",جأوِبْ
1363,"to try, experiment",جرّب
1364,newspaper,جَرِيدَة
1365,to dream,حْلِمْ
1366,"worker, hard worker",خَدَّامْ
1367,"condemnation, conviction, verdict",إدَانَة
1368,"walk, round, tour",دُورَة
1369,rice,رُوزْ
1370,"to be silent, quiet",سْكِتْ
1371,"commodity, goods. Merchandise",سِلْعَةْ
1372,"health to you, greetings, cheers",صَحَّا
1373,a hit,ضَرْبَةْ
1374,it seems that he…,ضْهُرْلُو
1375,"to help, assist",عَاوِنْ
1376,scientific,عِلْمِي
1377,to joke around,فَدْلِكْ
1378,"breakfast, lunch",فْطُورْ
1379,educated,قَارِي
1380,bus,كَارْ
1381,"cup, glass, mug",كَاسْ
1382,meat,لْحَمْ
1383,"he would like to, wants to,prefers",مَاذَابِيهْ
1384,court,مَحْكْمَةْ
1385,Muslim,مُسْلِمْ
1386,responsibility,مَسْؤُولِيَّةْ
1387,machine,مَاكِينَة
1388,death,مُوتْ
1389,"to transport, move",نَقِّلْ
1390,goal,هَدَفْ
1391,crescent (moon),هْلَالْ
1392,"teacher, professor",أُسْتَاذْ
1393,that one who,أكلّي
1394,to idolize,ألّهْ
1395,America,أمريكْيَا
1396,prince,أمِيرْ
1397,high school diploma and its test,بَاكْ
1398,"declaration, announcement",بْيَانْ
1399,eighty,ثْمَانِينْ
1400,turkish bath (the Turkish variant of the Roman bath),حَمَّامْ
1401,to lose (e.g. game),خْسِرْ
1402,to kidnap,خْطَفْ
1403,"to make it, arrive, do something successfully",خْطَفْ
1404,"clothes, things, stuff",دْبَشْ
1405,things,دْبَشْ
1406,"state, nation",دَوْلَة
1407,Rap / Hip Hop music,رَابْ
1408,to cook an egg for a short period of time,رَابْ
1409,"rest, comfort, ease",رَاحَة
1410,"to focus, center on, concentrate",رَكِّزْ
1411,Report on TV,رُوپُورْتَاجْ
1412,Russian,رُوسِي
1413,sports,رِيَاضَة
1414,"decoration, beauty",زِينَة
1415,to ask,سْإِلْ
1416,"to steal, rob",سْرِقْ
1417,"shape, form",شكْل
1418,vocalization in Arabic script,شكْل
1419,a show,شو
1420,to believe,صَدَّقْ
1421,begging (on street),طُلْبَةْ
1422,"to scare, surprise",فْجَعْ
1423,"virtue, being good and upright",فَضِيلَةْ
1424,pepper,فِلْفِلْ
1425,"gas, natural gas",ڨَازْ
1426,"tribe, people group",قَبِيلَة
1427,channel (television or other),قَنَاةْ
1428,"Snitch, spy",قَوَّادْ
1429,night,لِيلَة
1430,"to act, play a role",مَثِّلْ
1431,"comfortable, at ease",مِرْتَاحْ
1432,"done, taken care of, going well",مْرِيقِلْ
1433,future,مُسْتَقْبِلْ
1434,"club, team",نَادِي
1435,"what's with that, oh boy, exclamation of surprise",وُوهْ
1436,"once, as soon as",دُوبْ
1437,"poor, humble, simple",زَوَّالِي
1438,"to welcome, receive",إسْتَقْبِلْ
1439,Sfax,صْفَاقِسْ
1440,"welcome, come on in",أهْلَا وَ سَهْلَا
1441,dry,شَايِحْ
1442,evil,شَرْ
1443,honesty,صَرَاحَة
1444,zero,صْفِرْ
1445,box,صُنْدُوقْ
1446,"fund, office",صُنْدُوقْ
1447,table,طَاوْلَة
1448,"games, rounds",أطْرَاحْ
1449,"circumstances, conditions, situation",ظُرُوفْ
1450,honey,عْسَلْ
1451,bone,عْضَمْ
1452,egg,عْضَمْ
1453,"to make a mistake, err",غْلَطْ
1454,bed,فَرْشْ
1455,"to disturb, bother, annoy",قَلِّقْ
1456,cash,كَاشْ
1457,mom,مَامَا
1458,society,مُجْتَمَعْ
1459,"pretty, beautiful",مِزْيَان
1460,closed,مْسَكِّرْ
1461,"harsh, not open-minded",مْسَكِّرْ
1462,"project, business venture",مَشْرُوعْ
1463,"position, belief",مَوْقِفْ
1464,"to escape, run away",هْرَبْ
1465,news,أخْبَارْ
1466,yellow,أصْفَرْ
1467,"origin, root",أصْلْ
1468,Hello (answering phone),ألُو
1469,"please, for God's sake",بالّاهِي
1470,"really, honestly",بالرَّسْمِي
1471,"jobless, unemployed person",بَطَّالْ
1472,"tray, platter",بْلَاتُو
1473,stage,بْلَاتُو
1474,little girl,بنّوتة
1475,to smoke,تْكَيِّفْ
1476,heartburn,حَسْرَة
1477,"nostalgia, regret, missing the past",حَسْرَة
1478,"to improve, make better, ameliorate",حَسِّنْ
1479,"allowed, approved in religion",حْلالْ
1480,fish,حُوتَة
1481,uncle (mother's brother),خَالْ
1482,mistake,خَطَأ
1483,bottle,دَبُّوزَة
1484,"a clue, proof",دَلِيلْ
1485,file,دُوسِي
1486,"calm, at peace, satisfied",رَايِضْ
1487,"to win, earn, gain",رْبَحْ
1488,despite,رُغْمْ
1489,Rim (woman's name),رِيمْ
1490,marriage contract,صْدَاقْ
1491,marriage contract signing party,صْدَاقْ
1492,to travel,سَافِرْ
1493,"already, done, that's it",سَايَا
1494,"The Protector, I hope you're fine",سَتَّارْ
1495,"to get out of a problem, figure it out, take care of it",سَلَّكْ
1496,"wall, fence",سُورْ
1497,politician,سِيَاسِي
1498,window,شِبَاّكْ
1499,"popular, well-liked, of the people, folk",شعبي
1500,north,شَمَالْ
1501,Chawki (man's name),شوقي
1502,"a place, region, side",شِيرَة
1503,"classy, chic",شيك
1504,Sadek (man's name),صَادَقْ
1505,"to endorse, legalize",صَادَقْ
1506,"trustworthy, honest person",صَادَقْ
1507,to be patient,صْبَرْ
1508,hospital,سْبِيطَارْ
1509,to export,صَدِّرْ
1510,"to hunt, fish",إصطاد
1511,"old currency (millime), money, small amount of money",صُورْدِي
1512,capital,عَاصْمَةْ
1513,emotional,عَاطِفِي
1514,"grandmother, grandma",عْزِيزَةْ
1515,"Dear, beloved",عْزِيزَةْ
1516,"flaw, mistake, shame",عِيبْ
1517,"to yell, shout, cry",عَيِّطْ
1518,"to win, be victorious",فَازْ
1519,nurse,فِرْمْلِي
1520,to think,فَكِّرْ
1521,to remind,فَكِّرْ
1522,"art, music",فَنّْ
1523,forum,فُورُومْ
1524,loan,قَرْضْ
1525,classroom,قَسِّمْ
1526,"palace, headquarters",قْصَرْ
1527,black person or thing,كَحْلُوشْ
1528,Liar,كَذَّابْ
1529,to rent,كْرَى
1530,Couscous,كُسْكْسِي
1531,"as if he were, it's like",كَيِنُّو
1532,thousand,ألْفْ
1533,one dinar,ألْفْ
1534,"different, not the same",مُخْتَلِفْ
1535,"trainer, someone who gets you ready",مُعِدّْ
1536,factory,مَعْمِلْ
1537,motorcycle,مُوتُورْ
1538,temporary structure or base,نَصْبَةْ
1539,"system, government",نِظَامْ
1540,"psychological, psychiatric",نَفْسِي
1541,"effect, impact",أثَرْ
1542,twelve,أثْنَاشْ
1543,"problem, little issue",إشْكَالِيَّة
1544,"originally, to begin with",أصْلًا
1545,the majority,أغْلَبِيَّة
1546,to bless,بَارِكْ
1547,pass (sports),بَاسْ
1548,"bucket, jug, container",بِدُونْ
1549,unemployment,بْطَالَة
1550,to meet,تْقًابِلْ
1551,thirty,ثْلَاثِينْ
1552,grand father,جَدْ
1553,"all, together",جْمِيعْ
1554,basil,حْبَقْ
1555,"to respect, honor",إحترم
1556,barber,حَجَّامْ
1557,"forbidden by religion, wrong",حْرَامْ
1558,mathematics,حْسَابْ
1559,"bill, check (restaurant, store)",حْسَابْ
1560,"tender, gracious, kind",حْنِينْ
1561,line,خَطّ
1562,during,خِلَالْ
1563,the businesses and institutions of the private sectors,خواص
1564,the interior ministry,داخليّة
1565,Religion,دِينْ
1566,official,رَسْمِي
1567,"to throw, launch, toss",رْمَا
1568,oil,زِيتْ
1569,"Herdsman, shepherd",سَارَحْ
1570,"daydreaming, thinking of something else",سَارَحْ
1571,seventy,سَبْعِينْ
1572,"cock, rooster",سَرْدُوكْ
1573,salad,سْلَاطَةْ
1574,"to facilitate, make easy",سهّل
1575,Sousse,سوسة
1576,"Policy, politics",سِيَاسَة
1577,"cinema, theater",سِنِيمَا
1578,"good person, good reputation, well-respected",شْرِيفْ
1579,popularity,شَعْبِيَّةْ
1580,"certificate, diploma",شْهَادَةْ
1581,Muslim testimony,شْهَادَةْ
1582,"righteous, good",صَالِحْ
1583,"the press, journalism",صَحَافَةْ
1584,healthy,صِحِّي
1585,"queue, line",صَفْ
1586,page,صَفْحَةْ
1587,"weak, skinny",ضْعِيفْ
1588,to fly,طَارْ
1589,"to practice, apply",طَبَّقْ
1590,weather,طَقْسْ
1591,just,عَادِلْ
1592,to sweat,عْرَقْ
1593,"brain, thinking, logic",عْقَلْ
1594,the opposite,عَكْسْ
1595,bad luck,عَكْسْ
1596,refrigerator,فْرِيجِيدَارْ
1597,farmer,فَلَّاحْ
1598,success,فَلَّاحْ
1599,agriculture,فْلَاحَة
1600,pornographic films,فْلَاحَة
1601,standing or awake,قَايِمْ
1602,"to do, take care of",قَايِمْ
1603,to break,كْسَرْ
1604,Truck,كَمْيُونْ
1605,vacation from work,كُونْجِي
1606,"to weigh, measure with cup",كَيِّلْ
1607,tongue,لْسَانْ
1608,"calculated, recorded",مَحْسُوبْ
1609,"so what?, I know and don’t care",مَحْسُوبْ
1610,"output, performance",مَرْدُودْ
1611,center,مَرْكِزْ
1612,"favor, something helpful",مْزِيَّةْ
1613,to touch,مَسْ
1614,"to inhabit, torture (evil spirit)",مَسْ
1615,average,مُعَدِّلْ
1616,grades in school,مُعَدِّلْ
1617,"components, ingredients, elements",مُكَوْنَاتْ
1618,stadium,مَلْعَبْ
1619,"employee, government employee, staff, official",مُوَظِّفْ
1620,star,نِجْمَةْ
1621,"to advise, to consult",نْصَحْ
1622,situation,وَضْعِيَّة
1623,to promise,وَعْدْ
1624,"better, doing better",أبْرِكْ
1625,strike (protest),إضْرَابْ
1626,media,إعْلَامْ
1627,African,إفْرِيقِي
1628,possibility,إمْكَانِيَّة
1629,Italy,إيطَالْيَا
1630,faith,إيمَانْ
1631,"speechless, agape",بَاهِتْ
1632,"hero, main character, champion",بَطِّلْ
1633,Bizerte (city in northern Tunisia),بِنْزَرْتْ
1634,Bouzid (last name),بُوزِيدْ
1635,"with or without, no problem",بُوزِيدْ
1636,"taxi, cab",تَاكْسِي
1637,"to discuss, speak, talk",تحدث
1638,"to have improved, gotten better",تحسّن
1639,to be opened,تْحَلْ
1640,training,تَدْرِيبْ
1641,"to be named, called",تْسَمَّى
1642,tourist,تُورِيسْتْ
1643,mountain,جْبَلْ
1644,serious,جِدِّي
1645,"collective, shared",جَمَاعِي
1646,letter,جْوَابْ
1647,"in any case, so, anyway",حَاسِيلُو
1648,"trash dumpster, bin",حَاوْيَة
1649,free,حُرْ
1650,"to collect, gather, earn",حَصِّلْ
1651,"to scratch, rub against",حُكْ
1652,candy,حَلْوَى
1653,pack (for donkey),بَرْدْعَة
1654,cockadoodle doo (rooster's crowing),تْعُوعِيشْ
1655,to cluck (like a chicken),تَقَاقِي
1656,"to nest, hatch",تْكَرِّكْ
1657,crocodile,تِمْسَاحْ
1658,meow,تْمَعْوِيقْ
1659,to peck,نَڤّرْ
1660,mammals,ثَدِيَّاتْ
1661,fox,ثَعْلَبْ
1662,"small fox, sly or clever person",ثَعْلُوبْ
1663,bull,ثُورْ
1664,buffalo,جَامُوسْ
1665,Colt,جَحْشْ
1666,locust,جْرَادَة
1667,frog,جْرَانَة
1668,rat,جَرْبُوعْ
1669,a duck,جُرْمَانَة
1670,puppy,جَرْو
1671,a cut of wool,جَزَّة صُوفْ
1672,when an animal eats or drinks too much and can't move,جْفِلْ
1673,camel,جْمَلْ
1674,wing,جْنَاحْ
1675,"suit, wing",جْنَاحْ
1676,"to fly, flap",جنّح
1677,mad cow disease,جُنُونْ البَقَرْ
1678,leg of an animal (from butcher),جِيڨُو
1679,stork,حَاجْ قَاسِمْ
1680,hoof,حَافِرْ
1681,squid,حَبَّارْ
1682,partridge,حْجَلْ
1683,zoo,حديقة الحيوانات
1684,"insects, bugs",حَشَرَاتْ
1685,seahorse,حْصَانْ البْحَرْ
1686,Arab horse,حْصَانْ عَرْبِي
1687,race horse,حْصَانْ مْتَاعْ كُورِسْ
1688,to milk a cow,حْلِبْ البَقْرَة
1689,snail,حَلَزُونْ
1690,"to fly, flap",حَلَّقْ
1691,to shave,حَلَّقْ
1692,pig,حلّوف
1693,cunning person,حلّوف
1694,a female pig,حَلُّوفَة
1695,cunning female,حَلُّوفَة
1696,donkey,حِمَارْ
1697,zebra,حِمَارْ وَحْشِي
1698,female donkey,حْمَارَة
1699,"dove, pigeon",حْمَامَة
1700,a small donkey,حْمَّيِّرْ
1701,a stupid person,حْمَّيِّرْ
1702,a snake,حْنَشْ
1703,water snake,حْنَشْ البْحَرْ
1704,desert snake,حْنَشْ الصَحْرَا
1705,river snake,حْنَشْ الوَادْ
1706,Cobra,حْنَشْ بُو فْطِيرَة
1707,viper,حَنْشَة
1708,hooves,حْوَافِرْ
1709,fish,حُوتَة
1710,animal,حَيَوَانْ
1711,a domestic animal,حَيَوَانْ ألِيفْ
1712,animals facing extinction,حَيَوَانَاتْ قْرِيبْ تَنْقَرِضْ
1713,extincted animals,حَيَوَانَاتْ مُنْقَرِضَة
1714,"trunk (elephant), hose",خُرْطُومْ
1715,Sudanese capital,خُرْطُومْ
1716,to castrate,خْسَى
1717,poultry disease,خْنَاقْ الدْجَاجْ
1718,pig,خِنْزِيرْ
1719,female pig,خِنْزِيرَة
1720,promiscuous woman (offensive word),خِنْزِيرَة
1721,a young pig,خَنْتُوشْ
1722,"cockroach, beetle, small bug",خَنْفُوسْ
1723,small cockroach,خْنِيفْسَة
1724,spider filament,خِيطْ العَنْكَبُوتْ
1725,rabies,دَاءْ الكَلَبْ
1726,"tunnel, cave, animal's hole",دَامُوسْ
1727,turkey (animal),دَانْدْ
1728,a bear,دُبّْ
1729,polar bear,دُبْ الأَبْيَضْ
1730,chickens,دْجَاجْ
1731,a chicken,دْجَاجَة
1732,Dolphin,دِلْفِينْ
1733,the stomach of an animal,دَوَّارَة
1734,doberman pincher,دُوبِرْمَانْ
1735,worms,دُودْ
1736,earthworms,دُودْ التْرَابْ
1737,Silkworms,دُودْ الحْرِيرْ
1738,Argentinian dog,دُوقْ أرْجُنْتَانْ
1739,mice/rat poison,دْوَاء الفَارْ
1740,turkey (animal),دِيكْ رُومِي
1741,a fly,ذِبَّانة
1742,to slaughter,ذْبَحْ
1743,"sacrifice, something slaughtered",ذْبِيحَة
1744,wolf,ذِيبْ
1745,tail,ذِيلْ
1746,"Race, breed",رَاتْسَة
1747,spider,رُتِّيلَة
1748,"field of flocks, herds",رَحْبَةْ غْنَمْ
1749,to care for a flock,رْعَى السَّعِيْ
1750,"to feather, pluck feathers, tear apart",رَيِّشْ
1751,"to crawl, slither",زْحِفْ
1752,the desolation of locusts,زحْفَ الجَرَادْ
1753,giraffe,زَرَافَة
1754,"Lizard, salamander",زَرْزُومِيَّة
1755,pen (usually for sheep),زْرِيبَة
1756,fins (on fish),زْعَانِفْ
1757,bird poop,زقّة
1758,"to twitter, chirp",زَقْزَقْ
1759,reptiles,زَوَاحِفْ
1760,birdseed,زِيوَانْ
1761,roar of a lion,زَئِيرْ
1762,"Herdsman, shepherd",سَارَحْ
1763,"daydreaming, thinking of something else",سَارَحْ
1764,hibernation,سُبَاتْ
1765,Lizard,سِحْلِيَّة
1766,"swarm, large flock",سِرْبْ
1767,swarm of birds,سِرْبْ مْتَاعْ طُيُورْ
1768,"cock, rooster",سَرْدُوكْ
1769,"Egyptian cock, rooster",سَرْدُوكْ مَصْرِي
1770,"herd, flock",سْعَي
1771,"race, breed",سُلَالَةْ
1772,to skin (an animal),سْلَخْ
1773,Greyhound,سْلُوقِي
1774,quail,سِمَّانْ
1775,squirrel,سِنْجَابْ
1776,squid,سوبية
1777,spider web,شبكة العنكبوت
1778,lion cub,شبل
1779,word used to shoo a dog (or person),شِرْ
1780,tadpole,شُرْغُوفْ
1781,"mutt, not pure-bred",شِرْكِي
1782,type of fish,شلبة
1783,chimpanzee,شمبنزاي
1784,lap dogs,شيان دو بوش
1785,falcon,صَقْرْ
1786,to scream like a sheep,صَيَّحْ
1787,lion,صِيدْ
1788,hyena,ضْبَعْ
1789,antelope,ضَبْيْ
1790,peacock,طَاِوسْ
1791,"to molt, lose feathers",طَيَّحْ الرِّيشْ
1792,"to grow up, start doing bad things",طَيَّحْ الرِّيشْ
1793,eagle-like bird,طِيرْ البُرْنِي
1794,herbivore,عَاشِبْ
1795,"male goat, billygoat",عَتْرُوسْ
1796,nest,عِشْ
1797,"to build a nest, make web",عَشِّشْ
1798,to stay somewhere a long time,عَشِّشْ
1799,birds,عْصَافِرْ
1800,bird,عَصْفُورْ
1801,starling bird found in olive trees,عَصْفُورْ زِيتُونْ
1802,scorpion,عَقْرِبْ
1803,to feed animals,عَلِّفْ
1804,animal feed,عَلْفَة
1805,lamb,عَلُّوشْ
1806,neck (especially of a chicken),عَنْكُوشْ
1807,"to cock-a-doodle-do, crow",عُوعِشْ
1808,to howl,عْوَى
1809,crow,غْرَابْ
1810,"to chirp, tweet",غَرِّدْ
1811,to cry,غَرِّدْ
1812,"deer, gazelle",غْزَالْ
1813,beatiful/handsome person,غْزَالْ
1814,"sheep, goats, flock",غْنَمْ
1815,"to get things from someone (usually by robbery), sieze",غْنَمْ
1816,mouse,فَارْ
1817,young chickens,فَرْخْ
1818,"a young person who does foolish, childish things",فَرْخْ
1819,wasp,فَرْزَزُّو
1820,cricket,فَرْزِيطْ
1821,butterfly,فَرْطَطُّو
1822,fur,فَرْوَةْ
1823,"race, breed",فَصِيلَةْ
1824,seal (sea animal),فُقْمَةْ
1825,a turtle,فَكْرُونْ
1826,desert fox,فْنَكْ
1827,leopard,فَهْدْ
1828,elephant,فِيلْ
1829,bass (fish),قَارُوصْ
1830,"to crow, cluck",قَاقَى
1831,anti-insect spray/product,ڨَتّالْ
1832,"fatal, deadly (adj)",ڨَتّالْ
1833,ticks,قْرَادْ
1834,(military) rank,قْرَادْ
1835,tick,قْرَادَةْ
1836,straw (food for animals),ڨُرْتْ
1837,monkey,قِرْدْ
1838,a very ugly or stupid woman,قِرْدْ
1839,shark,قِرْشْ
1840,bee sting,قَرْصَةْ مْتَاعْ نْحَلْ
1841,"octopus, squid",قَرْنِيطْ
1842,to butcher a sheep,قَصّْ العَلُّوشْ
1843,killing animals,قْضَى عَلْ الحَيَوَانَاتْ
1844,cat,قَطُّوسَةْ
1845,pretty woman,قَطُّوسَةْ
1846,my little kitten,قَطُّوسْتِي
1847,flock,قَطِيعْ
1848,young camel (not fully grown),ڨْعُودْ
1849,bird cage,قْفَصْ عَصْفُورْ
1850,chicken coop,ڨِنَّارُو
1851,jellyfish,قِنْدِيلْ لِبْحَرْ
1852,hedgehog,قَنْفُودْ
1853,group of insects that swarm to something,ڨُوجَةْ
1854,"hatching an egg, sitting on an egg",كَارِكْ
1855,"to be a couch potatoe, sit around all day",كَارِكْ
1856,canary,كَانَالُو
1857,Poodle,كَانِيشْ
1858,"Lamb, ram",كَبْشْ
1859,"to hatch, sit on eggs",كَرٍّكْ
1860,to fail a year in school,كَرٍّكْ
1861,Crocodile,كُرُوكُودِيلْ
1862,Dog,كَلْبْ
1863,saluki dog,كَلْبْ الشُوكْ
1864,seal,كَلْبْ بْحَرْ
1865,"Sheep dog, German shepherd",كَلْبْ بِيرْجَا
1866,"tame dog, housebroken dog",كَلْبْ سُورِي
1867,Police dog,كَلْبْ مْتَاعْ حَاكِمْ
1868,Watchdog,كَلْبْ مْتَاعْ عَسَّةْ
1869,Hunting dog,كَلْبْ مَصْيِدْ
1870,Small dog,كْلَيِّبْ
1871,Muzzle,كْمَامَةْ
1872,Koala,كْوَالَا
1873,barn,كُورِي
1874,Korean,كُورِي
1875,"creatures, living things",كائنَاتْ
1876,carnivorous,لَاحِمْ
1877,"seeing, dating, in a relationship",لَاحِمْ
1878,lobster,لَانْقُوسْتْ
1879,hawk,بَازْ
1880,lioness,لَبَّة
1881,"to bleat, scream like goat",لَبْلِبْ
1882,lioness,لَبْوَةْ
1883,bridle (horse),لْجَامْ
1884,to bridle a horse,لَجِّمْ
1885,"to sting (scorpion), bite with poison",لْدَغْ
1886,"serpent, snake",لَفْعَةْ
1887,evil woman,لَفْعَةْ
1888,stork,لَقْلَقْ
1889,hippopotamus,ليپوپوتام
1890,nocturnal,لَيْلِيَّةْ
1891,"flocks, sheep, goats",ماشية
1892,mammals,مَامِيفَارْ
1893,aquarium (large),مَتْحِفْ الحُوتْ
1894,claws,مَخَالِبْ
1895,animal (often rooster) with its feathers removed,مْرَيِّشْ
1896,mixed breed,مَشَتِّلْ
1897,goat,مَعْزَة
1898,to meow,مَعْوِقْ
1899,queen bee,مَلِكَةْ النَّحْلْ
1900,grouper (fish),مَنَّانِّي
1901,small bird found in mountains,مِنْيَارْ
1902,"name for cat, stereotypical name for cat",مِيشَةْ
1903,meow,مِيعَوْ
1904,small dog,مِينُوشْ
1905,bighorn sheep,مِينِينُوسْ
1906,female camel,نَاقَةْ
1907,mosquitoes,نَامُوسْ
1908,the law of Moses (Christian),نَامُوسْ
1909,barking of a dog,نْبَاحْ
1910,to bark,نْبَحْ
1911,"to scratch at the ground, claw",نْبِشْ
1912,bees,نْحَلْ
1913,queen bee,نَحْلَة مَلِكَة
1914,"apiarian, beekeeper",نَحْلِي
1915,bran,نُخَّالَةْ
1916,eagles,نْسُورْ
1917,Tunisian national soccer team,نْسُورْ
1918,a frightening make-believe bird that eats childrens,نعُوشَةْ
1919,ants,نِمَّالْ
1920,to bray,نَهِّقْ
1921,coconut,نْوَا دُو كُوكُو
1922,"big animal, big snake",هَامَّةْ
1923,"animal, beast",هَايْشَة
1924,mute animal,هَايْشَةْ بَكْمَةْ
1925,"yip, ruff (barking sound)",هَبْ
1926,animals,هْوَايِشْ
1927,animals,هُوشْ
1928,fur,وْبَرْ
1929,salamander,وْرَلْ
1930,"to make a bubbling sound, warble",وَرْوِرْ
1931,"small lizard, gecko",وَزْغَةْ
1932,very small kind of fish,وْزَفْ
1933,lynx,وْشَقْ
1934,large mosquito,وَشْوَاشَة
1935,cucumber,وِلْدْ القَمْرَةْ
1936,cow,بَڨْرَة
1937,bulbul (small bird),بُلْبْلَة
1938,kind of bird,بْرَادِلْ
1939,doberman pincher,بِرْجَا
1940,parrot,ببغيّو
1941,small black insect,بق
1942,"ravenous, wild, predator (has canine teeth)",بُونَابْ
1943,manatee,بَڨْرَة البْحَرْ
1944,yellow insect that makes lots of noise in the summer (blattodea),بُودْرِنْ
1945,snail (shell),ببّوش
1946,duck,بطّة
1947,insect found on plants,بُوسَاقْ
1948,hawk,بَاشَقْ
1949,brown insect often found in toilets,بُوڨْرِلُّو
1950,"wild, not tame",برّي
1951,"salamander, small lizard",بوكشّاش
1952,to walk the dog,حَوِّسْ بِالكَلْبْ
1953,rabbit,أَرْنِبْ
1954,stable (place for horses),إسْطَبِلْ
1955,to muzzle its mouth,إكَمَّمْلُو فُمُّو
1956,aquatic,أكْوَاتِيكْ
1957,"fish tank, aquarium",أكْوَارْيُومْ
1958,"breeding, raising animals",آلْفَاجْ
1959,alligator,آلِيڨَاتُورْ
1960,centipede,أمْ اَرْبَعَ وَ ارْبْعِينْ
1961,chamelion,أم البُويَة
1962,type of frog,أمْ ڨُرْڨُرْ
1963,anaconda,أنَاكُونْدَا
1964,deer,أَيْلْ
1965,"abbatoir, slaughterhouse",بَاتْوَارْ
1966,to lay an egg,بَاضْ
1967,banana,بَانَانْ
1968,parakeet,بَبَغَيُّو
1969,"shell, clam",بَبُّوشْ
1970,German Shepherd,بِرْجَا ألْمُونْ
1971,male goat,بِرْشْنِي
1972,flea,بَرْغُوثْ
1973,type of sheep known by its tail,بَرْكُوسْ
1974,small bird,بُرْنِي
1975,"chick, little bird",بَزْوِيشْ
1976,nickname for a young child that's making noise,بَزْوِيشْ
1977,"to call to an animal, get an animal to come",بَشْبِشْ
1978,penguin,بَطْرِيقْ
1979,to baa like a sheep,بَعْبَعْ
1980,tail,بَعْبُوصْ
1981,"sheep poop, waste",بَعْرُورْ
1982,camel,بَعِيرْ
1983,"bugs, small insects",بُغْبُشْ
1984,mule,بْغَلْ
1985,tick (insect),بَقْ
1986,milk cow,بَڨْرَة هُولَنْدِيَّة
1987,"bovine, of or relating to cow",بَقْرِي
1988,donkey,بْهِيمْ
1989,"idiot, stupid person",بْهِيمْ
1990,wasp,بُو زِمْزِمْ
1991,mouse,بُو طْمِيرَة
1992,"small lizard, gecko",بُو كَشَّاشْ
1993,earwig,بُو مْقَسْ
1994,grasshopper,بُو نَقَّازْ
1995,Mullet fish,بُورِي
1996,mole,بُوسِتْ خَالْ
1997,Cobra,بُوفْطِيرَة
1998,"aquarium, fish tank",بُوكَالْ
1999,bulldog,بُولْدُوڨْ
2000,owl,بُومَة
2001,chicken coop,بِيتْ الدْجَاجْ
2002,sheep pen,بِيتْ لَعْلَالِشْ
2003,nickname for cats,بِيشَة
2004,butterfly,پاپييون
2005,penguin,پَانْڨْوَانْ
2006,parakeet,پِيرُوشْ
2007,to lay eggs,تْبِيضْ
2008,"breeding, raising livestock",تَرْبِيَة المَاشْيَة
2009,mullet fish,تْرِيلْيَا
2010,"to howl, whine (as a dog)",زْوِي
2011,ant,نِمَّالَةْ
2012,"stray dog, mutt",كَلْبْ عَرْبِي
2013,barking,نْبِيحْ
2014,bee,نَحْلَةْ
2015,young bull,عِجْلْ
2016,"bird, flying animal",طيْرْ
2017,braying,نْهِيقْ
2018,"kitty, little cat",قْطِيطِسْ
2019,cobra,كُوبْرَا
2020,breeding,كُوبْلاَجْ
2021,crow,كُورْبُو
2022,cuckoo,وَقْوَاقْ
2023,eagle,نِسْرْ
2024,ewe,نَعْجَةْ
2025,coward,نَعْجَةْ
2026,goose,وَزَّةْ
2027,gorilla,غُورِيلَّا
2028,gorilla,ڨُورِلَّا
2029,gull,نَوْرِسْ
2030,herbivorous,كَالِشْ
2031,hippopotamus,فَرَسُ النَّهْرْ
2032,horse,حْصَانْ
2033,"to bark, howl",هَبْهَبْ
2034,mongoose,نِمْسْ
2035,kangaroo,كُونْقُورُو
2036,"kennel, dog house",نِيشْ
2037,kiwi,كِيوِي
2038,ladybug,كُوكْسِينَالْ
2039,"locust invasion, attack",هُجُومْ الجَرَادْ
2040,mare,فْرَسْ
2041,meow,مِييييَاوْ
2042,mosquito,نَمُّوسَةْ
2043,"squid or octopus, calamari",كَالَامَارْ
2044,nightingale,عَنْدْلِيبْ
2045,ostrich,نَعَامَةْ
2046,beak,مِنْقَارْ
2047,hippopotamous,كَرْكَدَنْ
2048,rhinoceros,وَحِيدْ القَرْنْ
2049,spider,عَنْكْبُوتْ
2050,"sting, bite of a snake or scorpion",لَدْغَةْ
2051,"to train, tame (animal)",عْمَلُّو دِرَاسَاجْ
2052,little turtle,فْكِيرِينْ
2053,to make a nest,تعشّش
2054,"blanket, wrap",بَطَّانِيَّة
2055,to sweep,كْنُسْ
2056,(air) conditioning,تَكْيِيفْ
2057,"cleaning, wash",تَنْظِيفَة
2058,"flashlight, torch",تورش
2059,screwdriver,تورنوفيس
2060,curtain rod,تِيجْ
2061,terrace,تِيرَاسْ
2062,dresser,تِيرْوَارْ
2063,"lamp, chandelier, ceiling light",ثْرَيَّة
2064,"basin, outside sink",جَابْيَة
2065,neighbour,جَارْ
2066,"close neighbor, good friend",جَارْ السَّاسْ
2067,squeegee,جَبَّادَة
2068,mattress,جَرَّايَة
2069,large clay pot,جَرَّة
2070,pipe (water),جَعْبَة
2071,bleach,جَفَّالْ
2072,to lay tiles in the house,جَلِّزْ الدَّارْ
2073,tiles,جْلِيزْ
